id,name,accommodates,longitude,latitude,neighbourhood
11201204,"Stylish Back Bay Studio, Steps to Newbury & Hynes",2,-71.08765,42.35177,Back Bay
14994014,"Downtown!!Stay in a modern apt, walk everywhere!",4,-71.06419,42.35169,Chinatown
15127120,Sonder | Winthrop Square | Sleek Studio + Laundry,2,-71.05935,42.35461,Downtown
15338096,Sonder | Winthrop Square | Airy Studio + Laundry,2,-71.05982,42.35545,Downtown
15581608,New Stylish Studio Overlooking Newbury Street!,2,-71.08529,42.34798,Back Bay
15582062,Cozy Studio on Enchanting Newbury Street!,2,-71.08414,42.34754,Back Bay
17573922,"NEW 1st Floor, 1BR Downtown Boston",3,-71.06159,42.34842,Chinatown
19084632,Private Room in Back Bay for the Summer!,2,-71.08705,42.35033,Back Bay
20635474,(104) Back Bay Studio - Prime Location/ St Botolph,2,-71.08196,42.34392,Back Bay
21240348,Sonder | Boston Common | Elegant 1BR + Laundry,2,-71.06346,42.35186,Chinatown
21547937,Huge Loft in the Heart of Boston | Walk Everywhere,4,-71.07313,42.34972,Back Bay
22014689,Sonder | Theater District | Cozy 1BR + Kitchen,2,-71.06481,42.3511,Chinatown
27111557,Cozy bedroom in the heart of Backbay in Boston.,2,-71.08847,42.34843,Back Bay
27554053,Boston Apartment,2,-71.07614,42.35331,Back Bay
27584770,Executive Suits in Downtown Boston Unit 3,4,-71.0612,42.35181,Downtown
27733061,Room in Back Bay Brownstone Penthouse Apartment,2,-71.08547,42.35025,Back Bay
28492719,Sonder | Boston Common | Cozy Studio + Laundry,2,-71.06196,42.35196,Chinatown
30955485,Luxury apt in the heart of Boston,2,-71.06048,42.34869,Downtown
32330728,408 Perfect Location Studio in Downtown Boston!,4,-71.06117,42.3561,Downtown
32331200,606 Simple Studio in the Heart of Boston!,3,-71.06124,42.35533,Downtown
32570057,143-12 Contemporary Flat in Heart of the City!,2,-71.06876,42.34831,Back Bay
32861086,1-24 Downtown Oasis Studio in Boston!,1,-71.06858,42.34948,Back Bay
33136211,Modern 1-bd  Downtown for families&professionals 4,4,-71.06077,42.35148,Downtown
33250560,(X9) Back Bay- Simple Little Studio,2,-71.07649,42.35271,Back Bay
33549296,Chinat.2-Mins-T Asian relaxing area#11唐人街singl bed,1,-71.06382,42.34811,Chinatown
34091288,Freedom Trail Bed 2,1,-71.05917,42.35671,Downtown
34174789,Freedom Trail Bed 8,1,-71.06064,42.35654,Downtown
